id,name,快捷键,冷却时间,技能消耗,Information
148,奥义之源,被动,,,每次获得/失去长剑时将获得15%移动速度加成，可叠加2层，持续2秒。
148,审判之刃,Q,8/7/6/5/4　/　8/7/6/5/4,40法力值/无消耗,剑模式：将手中掷向指定目标地点，对沿途的敌人造成50/85/120/155/190(+0.5额外)物理伤害。长剑到达指定地点会停留原地，期间进入拳模式。拳模式：将剑收回手中，并对沿途的敌人造成40/60/80/100/120(+0.6额外)物理伤害。长剑离开自身2000范围后会自动飞回伊莎手中，经过处于地面的长剑也会将长剑收回手中。收回大剑才开始计算冷却时间。
148,不灭之意,W,12/11/10/9/8秒　/　10秒,40/40法力值,剑模式：以自身为中心挥动长剑，对范围敌人造成60/110/160/210/260(0.7全)物理伤害并降低目标10%/15%/20%/25%/30%护甲，提升自身10%/15%/20%/25%/30%护甲和法术抗性。拳模式：获得一个可以吸取50/100/150/200/250(0.45全)伤害的护盾，持续四秒。护盾存在期间增加30%攻击速度，每次攻击回复10/15/20/25/30(0.24额外)点生命值。在长剑飞行过程中释放技能，长剑会在空中旋转，对碰到的目标造成该技能等额的伤害，并且同时获得两种形
148,瞬息万变,E,16/15/14/13/12秒　/　12/11/10/9/8秒,无消耗/无消耗,剑模式：挥动长剑对前方矩形范围内敌人造成50/90/130/170/210(0.52额外)物理伤害并降低对方30%移动速度，持续两秒。拳模式：向指定方向蓄力，在3秒内释放后向指定方向冲锋，击飞沿途的敌人并造成50/90/130/170/210(0.48额外)物理伤害，冲锋过程中碰撞到第一个英雄后停止冲锋。在长剑飞行过程中释放技能，伊莎会快速瞬移带长剑所在位置，接住长剑向地面重击，对敌人造成50/90/130/170/210(0.48额外)物理伤害并眩晕目标1秒
148,永恒破碎,R,100/90/80秒,60/80/100法力值,斩向前方，击飞沿途的敌人并造成200/300/400(0.6额外)物理伤害。
147,诅咒之血,被动,,,普通攻击或被普通攻击时（包括闪避格挡），会给目标附加一层诅咒之血效果，每层降低目标3/4/5/6护甲，持续6秒，可叠加6层，在6/11/16级升级
147,血之护盾,W,14/13/12/11/10秒,无消耗,被动效果：以剑化盾，有6/7/8/9/10%概率格挡普通攻击。若攻击者有诅咒之血效果，每层增加2%格挡几率。成功格挡后，会降低攻击者25%攻击速度，持续2秒。主动效果：获得护盾，吸收50/100/150/200/250（+0.5全AD）伤害护盾，持续3秒，护盾持续时间自身增加20%移动速度和攻击速度。若护盾被敌人击碎，会给周围5码范围的目标增加一层诅咒之血，并降低35%移动速度，持续2秒。
147,鲜血莲花,Q, 9/8/7/6/5秒,20/24/28/32/36生命消耗,挥舞太刀，对自身周围的角色造成50/90/130/170/210（0.6+全AD）物理伤害，可触发诅咒之血。命中已经有诅咒之血的目标，会回复（0.05全AD）目标被攻击前诅咒之血的层数的生命值，对英雄效果翻倍。
147,血脉牵引,E,17/16/15/14/13秒（不享受冷却缩减）,20/22/24/26/28生命消耗,被动效果：每降低4%生命值，提高1%攻击力。主动效果：朝目标突进并造成（1.0全AD）物理伤害并减速40%，持续2秒，若目标身上存在5层诅咒之血，则眩晕1.5秒。每层诅咒之血效果，减少该技能1秒冷却时间。
147,血液爆发,R,90/80/70秒,无消耗,5秒内无视距离持续引爆存在诅咒之血的英雄单位，每0.5秒移除一层诅咒之血并早餐20/25/30（+0.2全AD）物理伤害。引爆英雄单位会基于目标为中心造成3码范围伤害，直至目标诅咒之血完全移除，或技能持续时间结束。技能持续期间内新增诅咒之血依然会在0.5秒后引爆，栗山未来自身也会不断触发血液爆发的范围伤害和效果。
146,世界线跳跃,被动,无,无,"每释放一次技能，世界线变动率增加10%,世界线变动率达到100%时，激活世界线跳跃，使牧濑红莉栖免疫1次自本世界英雄的伤害，世界跳跃发生后，世界线收束，变动率清零。"
